semel,total,,,,male,,,,female,,,
7.00,879.00,,,,453.00,,,,426.00,,,
10.00,492.00,,,,269.00,,,,223.00,,,
11.00,548.00,,,,258.00,,,,289.00,,,
13.00,620.00,,,,312.00,,,,308.00,,,
15.00,355.00,,,,184.00,,,,171.00,,,
16.00,609.00,,,,302.00,,,,307.00,,,
18.00,760.00,,,,373.00,,,,386.00,,,
21.00,1033.00,,,,523.00,,,,510.00,,,
22.00,389.00,,,,225.00,,,,164.00,,,
23.00,263.00,,,,146.00,,,,118.00,,,
24.00,769.00,,,,398.00,,,,371.00,,,
26.00,3148.00,,,,1550.00,,,,1597.00,,,
27.00,378.00,,,,196.00,,,,182.00,,,
28.00,14837.00,,,,7323.00,,,,7514.00,,,
29.00,1730.00,,,,847.00,,,,883.00,,,
31.00,30662.00,,,,15171.00,,,,15491.00,,,
32.00,653.00,,,,387.00,,,,266.00,,,
33.00,656.00,,,,327.00,,,,329.00,,,
35.00,434.00,,,,208.00,,,,226.00,,,
36.00,594.00,,,,306.00,,,,288.00,,,
37.00,464.00,,,,244.00,,,,220.00,,,
39.00,410.00,,,,218.00,,,,192.00,,,
41.00,3415.00,,,,1701.00,,,,1715.00,,,
43.00,1615.00,,,,822.00,,,,793.00,,,
44.00,350.00,,,,191.00,,,,159.00,,,
46.00,4243.00,,,,2110.00,,,,2133.00,,,
47.00,4311.00,,,,2127.00,,,,2184.00,,,
48.00,1033.00,,,,533.00,,,,500.00,,,
49.00,490.00,,,,245.00,,,,245.00,,,
52.00,816.00,,,,394.00,,,,422.00,,,
53.00,8875.00,,,,4433.00,,,,4441.00,,,
55.00,583.00,,,,297.00,,,,286.00,,,
57.00,689.00,,,,349.00,,,,340.00,,,
58.00,141.00,,,,70.00,,,,70.00,,,
59.00,1484.00,,,,752.00,,,,732.00,,,
62.00,528.00,,,,278.00,,,,250.00,,,
63.00,686.00,,,,347.00,,,,340.00,,,
64.00,1124.00,,,,547.00,,,,578.00,,,
65.00,1952.00,,,,993.00,,,,959.00,,,
66.00,1247.00,,,,605.00,,,,643.00,,,
67.00,769.00,,,,383.00,,,,385.00,,,
69.00,387.00,,,,195.00,,,,193.00,,,
70.00,225939.00,,,,110419.00,,,,115520.00,,,
71.00,652.00,,,,324.00,,,,328.00,,,
72.00,933.00,,,,449.00,,,,484.00,,,
74.00,643.00,,,,324.00,,,,319.00,,,
76.00,673.00,,,,325.00,,,,348.00,,,
77.00,1134.00,,,,565.00,,,,568.00,,,
78.00,467.00,,,,233.00,,,,234.00,,,
79.00,674.00,,,,345.00,,,,330.00,,,
80.00,930.00,,,,453.00,,,,477.00,,,
82.00,760.00,,,,371.00,,,,389.00,,,
84.00,560.00,,,,286.00,,,,274.00,,,
85.00,1213.00,,,,617.00,,,,596.00,,,
86.00,618.00,,,,293.00,,,,325.00,,,
88.00,85.00,,,,43.00,,,,42.00,,,
89.00,546.00,,,,258.00,,,,289.00,,,
90.00,732.00,,,,340.00,,,,392.00,,,
92.00,702.00,,,,347.00,,,,355.00,,,
94.00,528.00,,,,275.00,,,,254.00,,,
95.00,1075.00,,,,546.00,,,,529.00,,,
96.00,1617.00,,,,797.00,,,,820.00,,,
97.00,662.00,,,,320.00,,,,342.00,,,
98.00,325.00,,,,164.00,,,,161.00,,,
99.00,5211.00,,,,2840.00,,,,2371.00,,,
102.00,297.00,,,,183.00,,,,114.00,,,
103.00,1504.00,,,,728.00,,,,775.00,,,
104.00,757.00,,,,365.00,,,,392.00,,,
106.00,346.00,,,,180.00,,,,166.00,,,
107.00,290.00,,,,163.00,,,,127.00,,,
112.00,842.00,,,,427.00,,,,415.00,,,
113.00,272.00,,,,145.00,,,,127.00,,,
115.00,774.00,,,,377.00,,,,397.00,,,
122.00,7785.00,,,,3855.00,,,,3930.00,,,
126.00,883.00,,,,444.00,,,,439.00,,,
127.00,545.00,,,,273.00,,,,273.00,,,
128.00,326.00,,,,171.00,,,,154.00,,,
130.00,1271.00,,,,617.00,,,,654.00,,,
132.00,602.00,,,,306.00,,,,295.00,,,
133.00,933.00,,,,444.00,,,,489.00,,,
134.00,1208.00,,,,614.00,,,,594.00,,,
135.00,521.00,,,,247.00,,,,274.00,,,
139.00,571.00,,,,286.00,,,,285.00,,,
140.00,1224.00,,,,603.00,,,,621.00,,,
141.00,411.00,,,,190.00,,,,221.00,,,
142.00,1103.00,,,,593.00,,,,509.00,,,
143.00,578.00,,,,284.00,,,,293.00,,,
144.00,578.00,,,,285.00,,,,293.00,,,
145.00,397.00,,,,198.00,,,,199.00,,,
146.00,217.00,,,,100.00,,,,117.00,,,
147.00,2678.00,,,,1338.00,,,,1340.00,,,
154.00,13144.00,,,,6650.00,,,,6495.00,,,
155.00,1289.00,,,,639.00,,,,650.00,,,
156.00,394.00,,,,217.00,,,,177.00,,,
157.00,1504.00,,,,762.00,,,,742.00,,,
158.00,1717.00,,,,849.00,,,,869.00,,,
159.00,542.00,,,,262.00,,,,280.00,,,
160.00,1163.00,,,,580.00,,,,582.00,,,
162.00,1298.00,,,,630.00,,,,668.00,,,
163.00,777.00,,,,373.00,,,,404.00,,,
164.00,383.00,,,,205.00,,,,177.00,,,
165.00,724.00,,,,364.00,,,,360.00,,,
166.00,23869.00,,,,11948.00,,,,11921.00,,,
167.00,836.00,,,,401.00,,,,434.00,,,
168.00,24778.00,,,,12404.00,,,,12374.00,,,
170.00,659.00,,,,325.00,,,,334.00,,,
171.00,5930.00,,,,3026.00,,,,2904.00,,,
173.00,1020.00,,,,509.00,,,,511.00,,,
174.00,637.00,,,,311.00,,,,326.00,,,
175.00,1422.00,,,,695.00,,,,727.00,,,
176.00,1511.00,,,,760.00,,,,750.00,,,
177.00,1258.00,,,,632.00,,,,626.00,,,
178.00,1012.00,,,,515.00,,,,497.00,,,
182.00,13826.00,,,,6797.00,,,,7029.00,,,
183.00,360.00,,,,177.00,,,,184.00,,,
184.00,1130.00,,,,539.00,,,,591.00,,,
186.00,422.00,,,,282.00,,,,140.00,,,
187.00,1593.00,,,,789.00,,,,804.00,,,
189.00,1034.00,,,,290.00,,,,743.00,,,
190.00,1973.00,,,,979.00,,,,994.00,,,
191.00,675.00,,,,347.00,,,,328.00,,,
192.00,699.00,,,,337.00,,,,362.00,,,
193.00,648.00,,,,326.00,,,,323.00,,,
194.00,617.00,,,,311.00,,,,306.00,,,
195.00,22683.00,,,,11302.00,,,,11381.00,,,
196.00,369.00,,,,172.00,,,,197.00,,,
197.00,986.00,,,,491.00,,,,495.00,,,
198.00,1287.00,,,,645.00,,,,643.00,,,
200.00,372.00,,,,201.00,,,,172.00,,,
202.00,263.00,,,,134.00,,,,129.00,,,
204.00,714.00,,,,358.00,,,,356.00,,,
205.00,865.00,,,,400.00,,,,465.00,,,
206.00,1730.00,,,,883.00,,,,847.00,,,
207.00,374.00,,,,185.00,,,,190.00,,,
208.00,1212.00,,,,581.00,,,,631.00,,,
212.00,347.00,,,,292.00,,,,55.00,,,
213.00,1024.00,,,,506.00,,,,518.00,,,
217.00,1460.00,,,,847.00,,,,613.00,,,
218.00,242.00,,,,114.00,,,,128.00,,,
219.00,727.00,,,,366.00,,,,361.00,,,
220.00,855.00,,,,454.00,,,,401.00,,,
223.00,546.00,,,,273.00,,,,273.00,,,
224.00,505.00,,,,268.00,,,,237.00,,,
225.00,861.00,,,,420.00,,,,441.00,,,
229.00,20398.00,,,,9898.00,,,,10500.00,,,
230.00,864.00,,,,414.00,,,,449.00,,,
232.00,1302.00,,,,626.00,,,,676.00,,,
233.00,730.00,,,,381.00,,,,349.00,,,
234.00,1258.00,,,,638.00,,,,620.00,,,
235.00,482.00,,,,277.00,,,,205.00,,,
237.00,738.00,,,,359.00,,,,379.00,,,
239.00,816.00,,,,402.00,,,,414.00,,,
240.00,23796.00,,,,11714.00,,,,12082.00,,,
241.00,1401.00,,,,685.00,,,,717.00,,,
242.00,1263.00,,,,614.00,,,,649.00,,,
246.00,37542.00,,,,18667.00,,,,18875.00,,,
247.00,1458.00,,,,739.00,,,,719.00,,,
248.00,766.00,,,,357.00,,,,409.00,,,
249.00,1502.00,,,,742.00,,,,760.00,,,
250.00,914.00,,,,435.00,,,,480.00,,,
252.00,152.00,,,,76.00,,,,76.00,,,
253.00,701.00,,,,344.00,,,,357.00,,,
254.00,386.00,,,,191.00,,,,196.00,,,
255.00,619.00,,,,334.00,,,,285.00,,,
256.00,729.00,,,,366.00,,,,363.00,,,
257.00,588.00,,,,280.00,,,,308.00,,,
259.00,806.00,,,,403.00,,,,403.00,,,
262.00,585.00,,,,260.00,,,,324.00,,,
263.00,360.00,,,,183.00,,,,177.00,,,
264.00,543.00,,,,260.00,,,,283.00,,,
265.00,481.00,,,,257.00,,,,224.00,,,
267.00,1938.00,,,,948.00,,,,990.00,,,
268.00,901.00,,,,511.00,,,,390.00,,,
269.00,1068.00,,,,541.00,,,,527.00,,,
270.00,861.00,,,,451.00,,,,410.00,,,
272.00,469.00,,,,244.00,,,,225.00,,,
273.00,676.00,,,,334.00,,,,343.00,,,
274.00,1366.00,,,,693.00,,,,673.00,,,
276.00,3291.00,,,,1712.00,,,,1579.00,,,
278.00,533.00,,,,274.00,,,,260.00,,,
280.00,756.00,,,,368.00,,,,388.00,,,
281.00,535.00,,,,246.00,,,,289.00,,,
282.00,1205.00,,,,596.00,,,,610.00,,,
284.00,1478.00,,,,752.00,,,,726.00,,,
285.00,515.00,,,,254.00,,,,261.00,,,
286.00,793.00,,,,385.00,,,,408.00,,,
287.00,1021.00,,,,472.00,,,,549.00,,,
288.00,1046.00,,,,509.00,,,,537.00,,,
289.00,1249.00,,,,605.00,,,,644.00,,,
290.00,749.00,,,,348.00,,,,401.00,,,
292.00,571.00,,,,296.00,,,,276.00,,,
293.00,583.00,,,,286.00,,,,296.00,,,
294.00,1031.00,,,,512.00,,,,519.00,,,
295.00,531.00,,,,262.00,,,,269.00,,,
296.00,311.00,,,,172.00,,,,139.00,,,
297.00,868.00,,,,450.00,,,,418.00,,,
298.00,433.00,,,,215.00,,,,217.00,,,
300.00,815.00,,,,388.00,,,,428.00,,,
301.00,625.00,,,,305.00,,,,320.00,,,
302.00,962.00,,,,470.00,,,,492.00,,,
303.00,745.00,,,,366.00,,,,378.00,,,
304.00,691.00,,,,362.00,,,,329.00,,,
305.00,428.00,,,,208.00,,,,219.00,,,
306.00,683.00,,,,353.00,,,,330.00,,,
307.00,1060.00,,,,604.00,,,,455.00,,,
308.00,818.00,,,,390.00,,,,428.00,,,
309.00,1181.00,,,,595.00,,,,586.00,,,
310.00,338.00,,,,171.00,,,,168.00,,,
311.00,694.00,,,,357.00,,,,337.00,,,
312.00,232.00,,,,117.00,,,,115.00,,,
313.00,713.00,,,,343.00,,,,370.00,,,
315.00,969.00,,,,469.00,,,,499.00,,,
316.00,1193.00,,,,576.00,,,,617.00,,,
317.00,507.00,,,,262.00,,,,245.00,,,
318.00,209.00,,,,105.00,,,,104.00,,,
319.00,584.00,,,,294.00,,,,290.00,,,
320.00,1143.00,,,,550.00,,,,593.00,,,
322.00,775.00,,,,385.00,,,,391.00,,,
324.00,668.00,,,,348.00,,,,320.00,,,
325.00,1165.00,,,,584.00,,,,581.00,,,
326.00,2131.00,,,,1023.00,,,,1109.00,,,
327.00,1096.00,,,,544.00,,,,552.00,,,
328.00,75.00,,,,42.00,,,,33.00,,,
329.00,1235.00,,,,585.00,,,,650.00,,,
330.00,405.00,,,,197.00,,,,208.00,,,
331.00,1286.00,,,,641.00,,,,645.00,,,
334.00,964.00,,,,490.00,,,,474.00,,,
335.00,1101.00,,,,552.00,,,,549.00,,,
336.00,843.00,,,,437.00,,,,406.00,,,
338.00,458.00,,,,241.00,,,,216.00,,,
339.00,710.00,,,,363.00,,,,348.00,,,
340.00,869.00,,,,434.00,,,,435.00,,,
342.00,466.00,,,,250.00,,,,216.00,,,
343.00,381.00,,,,189.00,,,,192.00,,,
344.00,812.00,,,,387.00,,,,425.00,,,
345.00,674.00,,,,327.00,,,,346.00,,,
346.00,533.00,,,,255.00,,,,279.00,,,
347.00,248.00,,,,133.00,,,,115.00,,,
348.00,611.00,,,,319.00,,,,291.00,,,
351.00,2461.00,,,,1117.00,,,,1343.00,,,
352.00,358.00,,,,180.00,,,,178.00,,,
353.00,83.00,,,,48.00,,,,35.00,,,
354.00,1075.00,,,,549.00,,,,526.00,,,
355.00,335.00,,,,162.00,,,,173.00,,,
356.00,820.00,,,,392.00,,,,428.00,,,
357.00,766.00,,,,372.00,,,,393.00,,,
358.00,737.00,,,,395.00,,,,342.00,,,
359.00,421.00,,,,218.00,,,,203.00,,,
360.00,730.00,,,,375.00,,,,355.00,,,
362.00,689.00,,,,346.00,,,,343.00,,,
363.00,558.00,,,,273.00,,,,285.00,,,
364.00,947.00,,,,489.00,,,,458.00,,,
365.00,712.00,,,,338.00,,,,374.00,,,
366.00,922.00,,,,447.00,,,,476.00,,,
367.00,803.00,,,,410.00,,,,393.00,,,
368.00,839.00,,,,423.00,,,,416.00,,,
369.00,492.00,,,,254.00,,,,239.00,,,
370.00,287.00,,,,139.00,,,,148.00,,,
371.00,247.00,,,,156.00,,,,91.00,,,
372.00,546.00,,,,283.00,,,,264.00,,,
373.00,828.00,,,,417.00,,,,411.00,,,
374.00,612.00,,,,306.00,,,,306.00,,,
375.00,1139.00,,,,576.00,,,,563.00,,,
376.00,847.00,,,,405.00,,,,442.00,,,
377.00,869.00,,,,423.00,,,,446.00,,,
378.00,339.00,,,,162.00,,,,177.00,,,
379.00,968.00,,,,463.00,,,,505.00,,,
380.00,915.00,,,,456.00,,,,459.00,,,
382.00,1403.00,,,,679.00,,,,724.00,,,
383.00,604.00,,,,264.00,,,,340.00,,,
385.00,439.00,,,,224.00,,,,214.00,,,
386.00,1171.00,,,,516.00,,,,655.00,,,
387.00,943.00,,,,457.00,,,,486.00,,,
388.00,619.00,,,,321.00,,,,298.00,,,
389.00,1213.00,,,,612.00,,,,601.00,,,
390.00,1096.00,,,,534.00,,,,562.00,,,
393.00,582.00,,,,283.00,,,,300.00,,,
394.00,820.00,,,,422.00,,,,398.00,,,
395.00,1005.00,,,,503.00,,,,502.00,,,
396.00,996.00,,,,488.00,,,,508.00,,,
397.00,852.00,,,,409.00,,,,443.00,,,
398.00,321.00,,,,159.00,,,,163.00,,,
399.00,1049.00,,,,510.00,,,,539.00,,,
400.00,1807.00,,,,933.00,,,,874.00,,,
402.00,630.00,,,,314.00,,,,316.00,,,
403.00,502.00,,,,245.00,,,,257.00,,,
405.00,997.00,,,,466.00,,,,531.00,,,
406.00,653.00,,,,328.00,,,,325.00,,,
407.00,493.00,,,,245.00,,,,249.00,,,
408.00,620.00,,,,313.00,,,,307.00,,,
409.00,729.00,,,,378.00,,,,350.00,,,
412.00,132.00,,,,105.00,,,,27.00,,,
413.00,471.00,,,,237.00,,,,234.00,,,
414.00,643.00,,,,335.00,,,,308.00,,,
415.00,565.00,,,,286.00,,,,279.00,,,
416.00,767.00,,,,393.00,,,,374.00,,,
417.00,770.00,,,,390.00,,,,380.00,,,
418.00,1370.00,,,,670.00,,,,700.00,,,
419.00,854.00,,,,393.00,,,,462.00,,,
421.00,481.00,,,,232.00,,,,249.00,,,
422.00,972.00,,,,645.00,,,,327.00,,,
423.00,922.00,,,,453.00,,,,469.00,,,
424.00,621.00,,,,303.00,,,,317.00,,,
425.00,1059.00,,,,527.00,,,,532.00,,,
426.00,922.00,,,,433.00,,,,489.00,,,
427.00,389.00,,,,231.00,,,,158.00,,,
428.00,954.00,,,,492.00,,,,462.00,,,
429.00,992.00,,,,500.00,,,,492.00,,,
430.00,843.00,,,,419.00,,,,425.00,,,
431.00,862.00,,,,442.00,,,,420.00,,,
432.00,580.00,,,,280.00,,,,301.00,,,
433.00,687.00,,,,314.00,,,,373.00,,,
434.00,858.00,,,,418.00,,,,440.00,,,
435.00,882.00,,,,440.00,,,,442.00,,,
436.00,1031.00,,,,513.00,,,,518.00,,,
437.00,1089.00,,,,561.00,,,,528.00,,,
439.00,451.00,,,,208.00,,,,243.00,,,
440.00,924.00,,,,576.00,,,,348.00,,,
442.00,471.00,,,,235.00,,,,236.00,,,
443.00,876.00,,,,431.00,,,,445.00,,,
444.00,480.00,,,,235.00,,,,245.00,,,
445.00,1159.00,,,,588.00,,,,571.00,,,
446.00,1379.00,,,,678.00,,,,701.00,,,
447.00,1950.00,,,,919.00,,,,1031.00,,,
448.00,964.00,,,,481.00,,,,483.00,,,
449.00,1788.00,,,,1068.00,,,,719.00,,,
450.00,414.00,,,,206.00,,,,208.00,,,
452.00,553.00,,,,263.00,,,,290.00,,,
453.00,569.00,,,,284.00,,,,285.00,,,
454.00,858.00,,,,418.00,,,,440.00,,,
456.00,1247.00,,,,565.00,,,,682.00,,,
457.00,743.00,,,,359.00,,,,384.00,,,
460.00,660.00,,,,351.00,,,,309.00,,,
462.00,1369.00,,,,702.00,,,,666.00,,,
463.00,692.00,,,,348.00,,,,343.00,,,
464.00,264.00,,,,135.00,,,,129.00,,,
465.00,625.00,,,,322.00,,,,303.00,,,
466.00,7285.00,,,,3678.00,,,,3607.00,,,
469.00,11001.00,,,,5404.00,,,,5597.00,,,
472.00,7698.00,,,,3878.00,,,,3820.00,,,
473.00,14099.00,,,,7184.00,,,,6915.00,,,
475.00,703.00,,,,366.00,,,,337.00,,,
478.00,14784.00,,,,7632.00,,,,7152.00,,,
480.00,12001.00,,,,6065.00,,,,5935.00,,,
481.00,22957.00,,,,11857.00,,,,11100.00,,,
482.00,9812.00,,,,5088.00,,,,4724.00,,,
483.00,8381.00,,,,4200.00,,,,4181.00,,,
485.00,6465.00,,,,3281.00,,,,3184.00,,,
487.00,3105.00,,,,1524.00,,,,1580.00,,,
489.00,10510.00,,,,5370.00,,,,5141.00,,,
490.00,12514.00,,,,6438.00,,,,6077.00,,,
492.00,10339.00,,,,5211.00,,,,5127.00,,,
493.00,97.00,,,,51.00,,,,45.00,,,
494.00,17653.00,,,,8979.00,,,,8674.00,,,
496.00,6410.00,,,,3218.00,,,,3192.00,,,
497.00,1865.00,,,,937.00,,,,927.00,,,
498.00,14240.00,,,,7319.00,,,,6921.00,,,
499.00,19151.00,,,,9664.00,,,,9487.00,,,
502.00,17171.00,,,,8841.00,,,,8329.00,,,
504.00,14095.00,,,,7113.00,,,,6983.00,,,
505.00,3589.00,,,,1794.00,,,,1795.00,,,
507.00,10133.00,,,,5096.00,,,,5037.00,,,
508.00,3373.00,,,,1670.00,,,,1702.00,,,
509.00,22751.00,,,,11607.00,,,,11144.00,,,
510.00,20188.00,,,,10546.00,,,,9642.00,,,
511.00,8356.00,,,,4283.00,,,,4073.00,,,
512.00,2750.00,,,,1424.00,,,,1326.00,,,
514.00,1250.00,,,,630.00,,,,620.00,,,
516.00,15455.00,,,,7937.00,,,,7519.00,,,
517.00,3929.00,,,,1993.00,,,,1936.00,,,
518.00,3244.00,,,,1613.00,,,,1631.00,,,
520.00,8373.00,,,,4323.00,,,,4051.00,,,
521.00,3505.00,,,,1811.00,,,,1694.00,,,
522.00,13113.00,,,,6653.00,,,,6459.00,,,
523.00,1876.00,,,,937.00,,,,940.00,,,
524.00,2324.00,,,,1185.00,,,,1138.00,,,
525.00,4270.00,,,,2213.00,,,,2057.00,,,
526.00,2609.00,,,,1308.00,,,,1301.00,,,
527.00,323.00,,,,179.00,,,,145.00,,,
528.00,3276.00,,,,1717.00,,,,1559.00,,,
529.00,13305.00,,,,6698.00,,,,6607.00,,,
530.00,5752.00,,,,2927.00,,,,2825.00,,,
531.00,25833.00,,,,13042.00,,,,12791.00,,,
532.00,13335.00,,,,6776.00,,,,6560.00,,,
534.00,12503.00,,,,6296.00,,,,6207.00,,,
535.00,3172.00,,,,1595.00,,,,1577.00,,,
536.00,5893.00,,,,3016.00,,,,2876.00,,,
537.00,13247.00,,,,6676.00,,,,6571.00,,,
538.00,7061.00,,,,3570.00,,,,3491.00,,,
539.00,1212.00,,,,654.00,,,,558.00,,,
540.00,1195.00,,,,614.00,,,,581.00,,,
541.00,14930.00,,,,7427.00,,,,7503.00,,,
542.00,19001.00,,,,9685.00,,,,9316.00,,,
543.00,7728.00,,,,3881.00,,,,3847.00,,,
546.00,886.00,,,,445.00,,,,442.00,,,
547.00,1601.00,,,,801.00,,,,801.00,,,
549.00,971.00,,,,507.00,,,,463.00,,,
553.00,726.00,,,,365.00,,,,361.00,,,
555.00,593.00,,,,289.00,,,,305.00,,,
559.00,1302.00,,,,659.00,,,,643.00,,,
562.00,1568.00,,,,823.00,,,,744.00,,,
563.00,949.00,,,,477.00,,,,472.00,,,
564.00,813.00,,,,405.00,,,,408.00,,,
565.00,12957.00,,,,6433.00,,,,6524.00,,,
566.00,64.00,,,,44.00,,,,20.00,,,
567.00,930.00,,,,455.00,,,,475.00,,,
570.00,963.00,,,,492.00,,,,471.00,,,
571.00,1019.00,,,,520.00,,,,499.00,,,
572.00,578.00,,,,277.00,,,,301.00,,,
573.00,484.00,,,,253.00,,,,231.00,,,
574.00,1614.00,,,,809.00,,,,805.00,,,
575.00,867.00,,,,436.00,,,,432.00,,,
576.00,1054.00,,,,519.00,,,,536.00,,,
577.00,4268.00,,,,2141.00,,,,2127.00,,,
578.00,416.00,,,,207.00,,,,209.00,,,
579.00,1363.00,,,,668.00,,,,694.00,,,
